Họ thực vật,Tên Khoa học,"Tên Khoa học Yến, Hoài edit",Tên địa phương,Tên phổ thông,"Tên địa phương 
(Tiếng Dao)",Nơi sống,Dạng sống,Công dụng (Chữa gì),Giá trị,Bộ phận dùng,Cách dùng,Mức độ thường sử dụng,Số người sử dụng,Trữ lượng hiện còn ,Nguồn thu hái,Kỹ thuật trồng,Tiềm năng PT cung cấp thị trường,Phát hiện món ăn chế biến,Giá trị dinh dưỡng
Asteraceae,Gynura procumbens ,Gynura procumbens (Lour.) Merr.,Bầu đất lá to,Bầu đất lá to,Piềm hổng,Rừng,Cỏ,Đau mắt sốt,Ăn Th,Ngọn lá non,Lẩu canh xào sắc uống,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Chưa,Trung bình
Asteraceae,Gynura sarmentosa ,Gynura sp.,Bầu đất lá nhỏ,Bầu đất lá nhỏ,Puông ton,Rừng vườn,Dây leo,Đau mắt đỏ viêm đường tiết niệu đái tháo đường ,Ăn Th,Ngọn lá non,Lẩu canh xào sắc uống,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Chưa,Trung bình
Asteraceae,Lactuca indica ,Lactuca indica L.,Bồ công anh,Bồ công anh,Lày may dày,Rừng vườn,Cỏ,Tắc tia sữa dạ dày,Ăn Th,Ngọn lá non,Lẩu canh xào sắc uống,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Rất tiềm năng,Đã thấy,Trung bình
Rutaceae,Euodia bodinieri,Clausena sp.,Chanh chỏ,Chanh chỏ,Chanh chỏ,Rừng vườn,Gỗ nhỏ,Đi ngoài,Ăn Th,Lá non,Gia vị sắc uống,Thường xuyên,Nhiều,Nhiều,Trồng,Dễ,Rất tiềm năng,Đã thấy,Thấp
Sapindaceae,Nephelium lappaceum,Chưa có đủ thông tin,Chôm chôm rừng,Chôm chôm rừng,Lày chê,Rừng,Gỗ,Xương khớp sỏi thận,Ăn Th,Quả vỏ thân,Ăn quả Vỏ thân đun nước uống ,Hiếm khi,Ít,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
 Musaceae,Musa acuminata,Musa sp.,Chuối rừng,Chuối rừng,Nhầm chiu kềm,Rừng vườn,Cỏ,Sỏi thận,Ăn Th,Thân củ hoa quả,Ăn sống lẩu canh xào sắc uống,Thường xuyên,Nhiều,Nhiều,Tự nhiên,Dễ,Tiềm năng,Đã thấy,Trung bình
Dioscoreaceae,Dioscorea hamiltonii, Dioscorea sp.,Củ mài,Củ mài,Dìa đòi,Rừng,Dây leo,Đường ruột thận,Ăn Th,Củ,Canh,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên trồng,Dễ,Tiềm năng,Chưa,Thấp
Cucurbitaceae,Hodgsonia macrocarpa ,Hodgsonia macrocarpa (Blume) Cogn.,Đài hái mỡ lợn,Đài hái mỡ lợn,Chì cô,Rừng,Dây leo,điều trị chứng rôm sảy kiết lỵ sưng vú,Ăn Th,Hạt,Rang nướng,Hiếm khi,Ít,Không nhiều,Tự nhiên,Dễ,Ít tiềm năng,Chưa,Trung bình
Euphorbiaceae,Baccaurea ramiflora ,Chưa có đủ thông tin,Dâu da đất,Dâu da đất,Mù lại kềm,Rừng,Gỗ,Giảm cângiải cảm xương vết thương,Ăn,Quả,Quả ăn hạt sắc uống lá đắp,Hiếm khi,Ít,Nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Vitaceae,Cissus hastata ,Cissus sp. (javanica DC.  )???,Dây vuông,Dây vuông,Quyền dòi mây,Rừng vườn,Dây leo,Chữa phong thấp cơ bắp co quắp,Ăn Th,Lá non,Ăn sống canh sắc uống,Thỉnh thoảng,Ít,Ít,Tự nhiên,Khó,Ít tiềm năng,Chưa,Thấp
Lamiaceae,Clerodendrum cyrtophyllum ,Chưa có đủ thông tin,Đốm đắng,Đốm đắng,Lầy gồ meng,Rừng,Bụi,Cảm viêm đường hô hấp ho,Ăn Th,Ngọn lá non,Xào,Thường xuyên,Nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Trung bình
Myrsinaceae,Maesa perlarius ,Maesa sp. (indica or perlarius)???,Đơn nem,Đơn nem,Kèn tạy trà,Rừng vườn,Bụi,Mẩn ngứa,Ăn Th,Ngọn lá non,Ăn sống canh sắc uống,Thỉnh thoảng,Ít,Nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Davalliaceae,Nephrolepis cordifolia ,Nephrolepis biserrata (Sw.) Schott.,Cốt khí,Cốt khí,Nhải vâm (dòng dương xỉ),Rừng,Cỏ,Ho,Ăn Th,Quả,Quả ăn sắc uống,Hiếm khi,Ít,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Zingiberaceae,Zingiber officinale , Zingiber officinale Roscoe,Gừng,Gừng,Sung,Rừng vườn,Cỏ,Dạ dày cảm lạnh hôi chân,Ăn Th,Củ,Gia vị sắc uống,Thường xuyên,Nhiều,Nhiều,Trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Piperaceae,Piper lolot ,Piper sp.,Lá lốt rừng,Lá lốt rừng,Kẻng muông trùn,Rừng vườn,Dây leo,,Ăn Th,Thân rễ lá,Ăn sống canh sắc uống,Thường xuyên,Không nhiều,Nhiều,Tự nhiên trồng,Dễ,Tiềm năng,Đã thấy,Trung bình
